observed_on,scientific_name,common_name,location,class_name,lat,lon,country,country_code
2025-08-08,Bombus bohemicus,Bohemian Cuckoo Bumble bee,"55.26147,37.760823",Bohemian_Cuckoo_Bumble_bee,55.26147,37.760823,Russia,RU
2025-08-08,Bombus impatiens,Common Eastern Bumble Bee,"44.657587829,-63.5950144134",Common_Eastern_Bumble_Bee,44.657587829,-63.5950144134,Canada,CA
2025-08-08,Bombus griseocollis,Brown-belted Bumble Bee,"43.9546,-98.0703277778",Brown-belted_Bumble_Bee,43.9546,-98.0703277778,United States,US
2025-08-08,Bombus impatiens,Common Eastern Bumble Bee,"43.9546,-98.0703277778",Common_Eastern_Bumble_Bee,43.9546,-98.0703277778,United States,US
2025-08-08,Bombus,Bumble Bees,"43.0445971667,-79.3941716667",Bumble_Bees,43.0445971667,-79.3941716667,Canada,CA
2025-08-08,Bombus soroeensis,Broken-belted Bumble Bee,"61.4114813882,26.3773628903",Broken-belted_Bumble_Bee,61.4114813882,26.3773628903,Finland,FI
2025-08-08,Bombus pascuorum,Common Carder Bumble Bee,"53.9627638889,-0.9828638889",Common_Carder_Bumble_Bee,53.9627638889,-0.9828638889,United Kingdom,GB
2025-08-08,Bombus,Bumble Bees,"42.9937273997,-81.1522915997",Bumble_Bees,42.9937273997,-81.1522915997,Canada,CA
2025-08-08,Bombus griseocollis,Brown-belted Bumble Bee,"43.9545888889,-98.0703388889",Brown-belted_Bumble_Bee,43.9545888889,-98.0703388889,United States,US
2025-08-08,Bombus,Bumble Bees,"43.6135866667,-116.22632",Bumble_Bees,43.6135866667,-116.22632,United States,US
2025-08-08,Bombus,Bumble Bees,"42.9937301,-81.1523009997",Bumble_Bees,42.9937301,-81.1523009997,Canada,CA
2025-07-26,Bombus,Bumble Bees,"43.6476066616,-110.8088166733",Bumble_Bees,43.6476066616,-110.8088166733,United States,US
2025-08-08,Bombus lapidarius,Red-tailed Bumble Bee,"55.9508385496,-3.2267260685",Red-tailed_Bumble_Bee,55.9508385496,-3.2267260685,United Kingdom,GB
2025-08-08,Bombus pascuorum,Common Carder Bumble Bee,"55.9508385496,-3.2267260685",Common_Carder_Bumble_Bee,55.9508385496,-3.2267260685,United Kingdom,GB
2025-08-08,Bombus terrestris,Buff-tailed Bumble Bee,"55.9508385496,-3.2267260685",Buff-tailed_Bumble_Bee,55.9508385496,-3.2267260685,United Kingdom,GB
2025-08-08,Bombus griseocollis,Brown-belted Bumble Bee,"43.9545888889,-98.0703388889",Brown-belted_Bumble_Bee,43.9545888889,-98.0703388889,United States,US
2025-08-08,Bombus griseocollis,Brown-belted Bumble Bee,"43.9546111111,-98.070325",Brown-belted_Bumble_Bee,43.9546111111,-98.070325,United States,US
